
ITEM	testing-files/P2/TC1	BIN	HEX
1	6980368	11010101000001100010000	6A8310
2	5517055	10101000010111011111111	542EFF
3	1336159	101000110001101011111	14635F
4	6750185	11001101111111111101001	66FFE9
5	1771937	110110000100110100001	1B09A1
6	360952	1011000000111111000	581F8
7	5672561	10101101000111001110001	568E71
8	916583	11011111110001100111	DFC67
9	2700138	1010010011001101101010	29336A
10	9645053	100100110010101111111101	932BFD
11	1181110	100100000010110110110	1205B6
12	1492185	101101100010011011001	16C4D9
13	4018595	1111010101000110100011	3D51A3
14	7654888	11101001100110111101000	74CDE8
15	7062453	11010111100001110110101	6BC3B5
16	2478010	1001011100111110111010	25CFBA
17	6134768	10111011001101111110000	5D9BF0
18	8420417	100000000111110001000001	807C41
19	2917489	1011001000010001110001	2C8471
20	3340773	1100101111100111100101	32F9E5
21	1115956	100010000011100110100	110734
22	9172192	100010111111010011100000	8BF4E0
23	6271996	10111111011001111111100	5FB3FC
24	8686939	100001001000110101011011	848D5B
25	50986	1100011100101010	C72A
26	9376410	100011110001001010011010	8F129A
27	5962327	10110101111101001010111	5AFA57
28	7686891	11101010100101011101011	754AEB
29	6615183	11001001111000010001111	64F08F
30	1864844	111000111010010001100	1C748C
31	3329962	1100101100111110101010	32CFAA
32	3942794	1111000010100110001010	3C298A
33	2614836	1001111110011000110100	27E634
34	7406772	11100010000010010110100	7104B4
35	2384190	1001000110000100111110	24613E
36	398347	1100001010000001011	6140B
37	8698503	100001001011101010000111	84BA87
38	9551696	100100011011111101010000	91BF50
39	1019556	11111000111010100100	F8EA4
40	1677430	110011001100001110110	199876
41	3479629	1101010001100001001101	35184D
42	9309008	100011100000101101010000	8E0B50
43	5266170	10100000101101011111010	505AFA
44	4094340	1111100111100110000100	3E7984
45	1754055	110101100001111000111	1AC3C7
46	5861132	10110010110111100001100	596F0C
47	4471329	10001000011101000100001	443A21
48	8826052	100001101010110011000100	86ACC4
49	7469325	11100011111100100001101	71F90D
50	1973172	111100001101110110100	1E1BB4
51	53145	1100111110011001	CF99
52	3897508	1110110111100010100100	3B78A4
53	7773386	11101101001110011001010	769CCA
54	6089829	10111001110110001100101	5CEC65
55	4223424	10000000111000111000000	4071C0
56	9761752	100101001111001111011000	94F3D8
57	7930799	11110010000001110101111	7903AF
58	3597495	1101101110010010110111	36E4B7
59	9302948	100011011111001110100100	8DF3A4
60	2288712	1000101110110001001000	22EC48
61	197187	110000001001000011	30243
62	5266939	10100000101110111111011	505DFB
63	221545	110110000101101001	36169
64	7957027	11110010110101000100011	796A23
65	3195361	1100001100000111100001	30C1E1
66	7106269	11011000110111011011101	6C6EDD
67	9633312	100100101111111000100000	92FE20
68	9713704	100101000011100000101000	943828
69	91925	10110011100010101	16715
70	4418686	10000110110110001111110	436C7E
71	9682250	100100111011110101001010	93BD4A
72	2583824	1001110110110100010000	276D10
73	4979126	10010111111100110110110	4BF9B6
74	6280954	10111111101011011111010	5FD6FA
75	1228610	100101011111101000010	12BF42
76	705518	10101100001111101110	AC3EE
77	1017653	11111000011100110101	F8735
78	500098	1111010000110000010	7A182
79	7210727	11011100000011011100111	6E06E7
80	4250898	10000001101110100010010	40DD12
81	4055028	1111011101111111110100	3DDFF4
82	2754240	1010100000011011000000	2A06C0
83	452999	1101110100110000111	6E987
84	6831458	11010000011110101100010	683D62
85	207636	110010101100010100	32B14
86	7280635	11011110001011111111011	6F17FB
87	3308937	1100100111110110001001	327D89
88	4303570	10000011010101011010010	41AAD2
89	8375055	11111111100101100001111	7FCB0F
90	1457960	101100011111100101000	163F28
91	5197625	10011110100111100111001	4F4F39
92	3144371	1011111111101010110011	2FFAB3
93	6674138	11001011101011011011010	65D6DA
94	2692106	1010010001010000001010	29140A
95	2276769	1000101011110110100001	22BDA1
96	1940971	111011001110111101011	1D9DEB
97	3288264	1100100010110011001000	322CC8
98	4819803	10010011000101101011011	498B5B
99	9431005	100011111110011111011101	8FE7DD
100	3992019	1111001110100111010011	3CE9D3
101	8184782	11111001110001111001110	7CE3CE
102	2847975	1010110111010011100111	2B74E7
103	7891025	11110000110100001010001	786851
104	900082	11011011101111110010	DBBF2
105	1831532	110111111001001101100	1BF26C
106	8428253	100000001001101011011101	809ADD
107	2905752	1011000101011010011000	2C5698
108	9763121	100101001111100100110001	94F931
109	257890	111110111101100010	3EF62
110	4699761	10001111011011001110001	47B671
111	359541	1010111110001110101	57C75
112	3446150	1101001001010110000110	349586
113	4246818	10000001100110100100010	40CD22
114	1848840	111000011011000001000	1C3608
115	938480	11100101000111110000	E51F0
116	227465	110111100010001001	37889
117	3923488	1110111101111000100000	3BDE20
118	8915697	100010000000101011110001	880AF1
119	4309094	10000011100000001100110	41C066
120	3891251	1110110110000000110011	3B6033
121	8627956	100000111010011011110100	83A6F4
122	5884613	10110011100101011000101	59CAC5
123	1659318	110010101000110110110	1951B6
124	1834855	110111111111101100111	1BFF67
125	3386751	1100111010110101111111	33AD7F
126	3000166	1011011100011101100110	2DC766
127	9135626	100010110110011000001010	8B660A
128	4869260	10010100100110010001100	4A4C8C
129	76550	10010101100000110	12B06
130	432271	1101001100010001111	6988F
131	251028	111101010010010100	3D494
132	7016218	11010110000111100011010	6B0F1A
133	6896099	11010010011100111100011	6939E3
134	8386350	11111111111011100101110	7FF72E
135	8637147	100000111100101011011011	83CADB
136	936705	11100100101100000001	E4B01
137	6602175	11001001011110110111111	64BDBF
138	1429181	101011100111010111101	15CEBD
139	8395138	100000000001100110000010	801982
140	6132809	10111011001010001001001	5D9449
141	5936917	10110101001011100010101	5A9715
142	2878578	1010111110110001110010	2BEC72
143	158885	100110110010100101	26CA5
144	2441957	1001010100001011100101	2542E5
145	5914794	10110100100000010101010	5A40AA
146	3999272	1111010000011000101000	3D0628
147	3142897	1011111111010011110001	2FF4F1
148	8151159	11111000110000001110111	7C6077
149	5147564	10011101000101110101100	4E8BAC
150	4595374	10001100001111010101110	461EAE
151	4234951	10000001001111011000111	409EC7
152	7880605	11110000011111110011101	783F9D
153	7009921	11010101111011010000001	6AF681
154	695580	10101001110100011100	A9D1C
155	7370443	11100000111011011001011	7076CB
156	7921729	11110001110000001000001	78E041
157	8419625	100000000111100100101001	807929
158	7024080	11010110010110111010000	6B2DD0
159	3905988	1110111001100111000100	3B99C4
160	1767599	110101111100010101111	1AF8AF
161	935136	11100100010011100000	E44E0
162	635788	10011011001110001100	9B38C
163	8807719	100001100110010100100111	866527
164	317375	1001101011110111111	4D7BF
165	9975410	100110000011011001110010	983672
166	2727968	1010011010000000100000	29A020
167	7444399	11100011001011110101111	7197AF
168	4065675	1111100000100110001011	3E098B
169	9925720	100101110111010001011000	977458
170	2293633	1000101111111110000001	22FF81
171	7734826	11101100000011000101010	76062A
172	1065463	100000100000111110111	1041F7
173	1105617	100001101111011010001	10DED1
174	5325800	10100010100001111101000	5143E8
175	3822527	1110100101001110111111	3A53BF
176	5503858	10100111111101101110010	53FB72
177	9214055	100011001001100001100111	8C9867
178	6521769	11000111000001110101001	6383A9
179	7923796	11110001110100001010100	78E854
180	5250236	10100000001110010111100	501CBC
181	1083154	100001000011100010010	108712
182	472141	1110011010001001101	7344D
183	9597454	100100100111001000001110	92720E
184	1581679	110000010001001101111	18226F
185	656751	10100000010101101111	A056F
186	345464	1010100010101111000	54578
187	4281218	10000010101001110000010	415382
188	6558883	11001000001010010100011	6414A3
189	3852986	1110101100101010111010	3ACABA
