Row Labels	Count of TC2
kingston	4
targeted	4
monaco	4
amongst	4
holders	4
brass	4
lease	4
chain	4
revenues	4
doc	4
filme	4
inflation	4
wood	3
pre	3
literacy	1
returned	1
olympic	1
algebra	1
bases	1
builders	1
munich	1
cannon	1
prof	1
catalog	1
southampton	1
afternoon	1
jose	1
cheese	1
mens	1
chosen	1
night	1
clan	1
outlook	1
classes	1
remained	1
come	1
sectors	1
comic	1
stores	1
compatibility	1
blowjob	1
conduct	1
kuwait	1
conferencing	1
males	1
consisting	1
minneapolis	1
container	1
networks	1
corp	1
objects	1
correct	1
ou	1
correlation	1
boots	1
creates	1
protest	1
croatia	1
resort	1
dean	1
rio	1
deck	1
sides	1
defence	1
ss	1
delays	1
sweden	1
disposal	1
teen	1
amounts	1
advantages	1
exams	1
apache	1
excessive	1
atomic	1
faculty	1
magazines	1
feeding	1
man	1
females	1
midi	1
fill	1
attending	1
anchor	1
naturals	1
filter	1
newly	1
fioricet	1
norm	1
form	1
odd	1
frozen	1
opens	1
galleries	1
out	1
genome	1
parent	1
practical	1
preparation	1
goals	1
priced	1
hall	1
prominent	1
hampshire	1
purposes	1
history	1
rentals	1
answering	1
responsibilities	1
ht	1
automation	1
hub	1
rule	1
icons	1
serious	1
ignored	1
sorry	1
textiles	1
sq	1
tiger	1
steve	1
turkish	1
str	1
unity	1
table	1
vessels	1
tba	1
violence	1
biz	1
weight	1
touch	1
initiative	1
undo	1
instantly	1
variety	1
interface	1
vice	1
ion	1
way	1
italy	1
win	1
j	1
jeff	1
jon	1
Grand Total	184
